,PassengerId,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,hascabin
46,938,1,1,45.0,0,0,29.7,0,1
47,939,3,1,30.2725903614,0,0,7.75,1,0
48,940,1,0,60.0,0,0,76.2917,0,1
49,941,3,0,36.0,0,2,15.9,2,0
50,942,1,1,24.0,1,0,60.0,2,1
51,943,2,1,27.0,0,0,15.0333,0,0
52,944,2,0,20.0,2,1,23.0,2,0
53,945,1,0,28.0,3,2,263.0,2,1
54,946,2,1,30.2725903614,0,0,15.5792,0,0
55,947,3,1,10.0,4,1,29.125,1,0
56,948,3,1,35.0,0,0,7.8958,2,0
57,949,3,1,25.0,0,0,7.65,2,1
58,950,3,1,30.2725903614,1,0,16.1,2,0
59,951,1,0,36.0,0,0,262.375,0,1
60,952,3,1,17.0,0,0,7.8958,2,0
61,953,2,1,32.0,0,0,13.5,2,0
62,954,3,1,18.0,0,0,7.75,2,0
63,955,3,0,22.0,0,0,7.725,1,0
64,956,1,1,13.0,2,2,262.375,0,1
65,957,2,0,30.2725903614,0,0,21.0,2,0
66,958,3,0,18.0,0,0,7.8792,1,0
67,959,1,1,47.0,0,0,42.4,2,0
68,960,1,1,31.0,0,0,28.5375,0,1
69,961,1,0,60.0,1,4,263.0,2,1
70,962,3,0,24.0,0,0,7.75,1,0
71,963,3,1,21.0,0,0,7.8958,2,0
72,964,3,0,29.0,0,0,7.925,2,0
73,965,1,1,28.5,0,0,27.7208,0,1
74,966,1,0,35.0,0,0,211.5,0,1
75,967,1,1,32.5,0,0,211.5,0,1
76,968,3,1,30.2725903614,0,0,8.05,2,0
77,969,1,0,55.0,2,0,25.7,2,1
78,970,2,1,30.0,0,0,13.0,2,0
79,971,3,0,24.0,0,0,7.75,1,0
80,972,3,1,6.0,1,1,15.2458,0,0
81,973,1,1,67.0,1,0,221.7792,2,1
82,974,1,1,49.0,0,0,26.0,2,0
83,975,3,1,30.2725903614,0,0,7.8958,2,0
84,976,2,1,30.2725903614,0,0,10.7083,1,0
85,977,3,1,30.2725903614,1,0,14.4542,0,0
86,978,3,0,27.0,0,0,7.8792,1,0
87,979,3,0,18.0,0,0,8.05,2,0
88,980,3,0,30.2725903614,0,0,7.75,1,0
89,981,2,1,2.0,1,1,23.0,2,0
90,982,3,0,22.0,1,0,13.9,2,0
91,983,3,1,30.2725903614,0,0,7.775,2,0
92,984,1,0,27.0,1,2,52.0,2,1
93,985,3,1,30.2725903614,0,0,8.05,2,0
94,986,1,1,25.0,0,0,26.0,0,0
95,987,3,1,25.0,0,0,7.7958,2,0
96,988,1,0,76.0,1,0,78.85,2,1
97,989,3,1,29.0,0,0,7.925,2,0
98,990,3,0,20.0,0,0,7.8542,2,0
99,991,3,1,33.0,0,0,8.05,2,0
100,992,1,0,43.0,1,0,55.4417,0,1
101,993,2,1,27.0,1,0,26.0,2,0
102,994,3,1,30.2725903614,0,0,7.75,1,0
103,995,3,1,26.0,0,0,7.775,2,0
104,996,3,0,16.0,1,1,8.5167,0,0
105,997,3,1,28.0,0,0,22.525,2,0
106,998,3,1,21.0,0,0,7.8208,1,0
107,999,3,1,30.2725903614,0,0,7.75,1,0
108,1000,3,1,30.2725903614,0,0,8.7125,2,0
109,1001,2,1,18.5,0,0,13.0,2,1
110,1002,2,1,41.0,0,0,15.0458,0,0
111,1003,3,0,30.2725903614,0,0,7.7792,1,0
112,1004,1,0,36.0,0,0,31.6792,0,1
113,1005,3,0,18.5,0,0,7.2833,1,0
114,1006,1,0,63.0,1,0,221.7792,2,1
115,1007,3,1,18.0,1,0,14.4542,0,0
116,1008,3,1,30.2725903614,0,0,6.4375,0,0
117,1009,3,0,1.0,1,1,16.7,2,1
118,1010,1,1,36.0,0,0,75.2417,0,1
119,1011,2,0,29.0,1,0,26.0,2,0
120,1012,2,0,12.0,0,0,15.75,2,0
121,1013,3,1,30.2725903614,1,0,7.75,1,0
122,1014,1,0,35.0,1,0,57.75,0,1
123,1015,3,1,28.0,0,0,7.25,2,0
124,1016,3,1,30.2725903614,0,0,7.75,1,0
125,1017,3,0,17.0,0,1,16.1,2,0
126,1018,3,1,22.0,0,0,7.7958,2,0
127,1019,3,0,30.2725903614,2,0,23.25,1,0
128,1020,2,1,42.0,0,0,13.0,2,0
129,1021,3,1,24.0,0,0,8.05,2,0
130,1022,3,1,32.0,0,0,8.05,2,0
131,1023,1,1,53.0,0,0,28.5,0,1
132,1024,3,0,30.2725903614,0,4,25.4667,2,0
133,1025,3,1,30.2725903614,1,0,6.4375,0,0
134,1026,3,1,43.0,0,0,7.8958,2,0
135,1027,3,1,24.0,0,0,7.8542,2,0
136,1028,3,1,26.5,0,0,7.225,0,0
137,1029,2,1,26.0,0,0,13.0,2,0
138,1030,3,0,23.0,0,0,8.05,2,0
139,1031,3,1,40.0,1,6,46.9,2,0
140,1032,3,0,10.0,5,2,46.9,2,0
141,1033,1,0,33.0,0,0,151.55,2,0
142,1034,1,1,61.0,1,3,262.375,0,1
143,1035,2,1,28.0,0,0,26.0,2,0
144,1036,1,1,42.0,0,0,26.55,2,0
145,1037,3,1,31.0,3,0,18.0,2,0
146,1038,1,1,30.2725903614,0,0,51.8625,2,1
147,1039,3,1,22.0,0,0,8.05,2,0
148,1040,1,1,30.2725903614,0,0,26.55,2,0
149,1041,2,1,30.0,1,1,26.0,2,0
150,1042,1,0,23.0,0,1,83.1583,0,1
151,1043,3,1,30.2725903614,0,0,7.8958,0,0
152,1044,3,1,60.5,0,0,35.6271884892,2,0
153,1045,3,0,36.0,0,2,12.1833,2,0
154,1046,3,1,13.0,4,2,31.3875,2,0
155,1047,3,1,24.0,0,0,7.55,2,0
156,1048,1,0,29.0,0,0,221.7792,2,1
157,1049,3,0,23.0,0,0,7.8542,2,0
158,1050,1,1,42.0,0,0,26.55,2,1
159,1051,3,0,26.0,0,2,13.775,2,0
160,1052,3,0,30.2725903614,0,0,7.7333,1,0
161,1053,3,1,7.0,1,1,15.2458,0,0
162,1054,2,0,26.0,0,0,13.5,2,0
163,1055,3,1,30.2725903614,0,0,7.0,2,0
164,1056,2,1,41.0,0,0,13.0,2,0
165,1057,3,0,26.0,1,1,22.025,2,0
166,1058,1,1,48.0,0,0,50.4958,0,1
167,1059,3,1,18.0,2,2,34.375,2,0
168,1060,1,0,30.2725903614,0,0,27.7208,0,0
169,1061,3,0,22.0,0,0,8.9625,2,0
170,1062,3,1,30.2725903614,0,0,7.55,2,0
171,1063,3,1,27.0,0,0,7.225,0,0
172,1064,3,1,23.0,1,0,13.9,2,0
173,1065,3,1,30.2725903614,0,0,7.2292,0,0
174,1066,3,1,40.0,1,5,31.3875,2,0
175,1067,2,0,15.0,0,2,39.0,2,0
176,1068,2,0,20.0,0,0,36.75,2,0
177,1069,1,1,54.0,1,0,55.4417,0,1
178,1070,2,0,36.0,0,3,39.0,2,1
179,1071,1,0,64.0,0,2,83.1583,0,1
180,1072,2,1,30.0,0,0,13.0,2,0
181,1073,1,1,37.0,1,1,83.1583,0,1
182,1074,1,0,18.0,1,0,53.1,2,1
183,1075,3,1,30.2725903614,0,0,7.75,1,0
184,1076,1,0,27.0,1,1,247.5208,0,1
185,1077,2,1,40.0,0,0,16.0,2,0
186,1078,2,0,21.0,0,1,21.0,2,0
187,1079,3,1,17.0,2,0,8.05,2,0
188,1080,3,0,30.2725903614,8,2,69.55,2,0
189,1081,2,1,40.0,0,0,13.0,2,0
190,1082,2,1,34.0,1,0,26.0,2,0
191,1083,1,1,30.2725903614,0,0,26.0,2,0
192,1084,3,1,11.5,1,1,14.5,2,0
193,1085,2,1,61.0,0,0,12.35,1,0
194,1086,2,1,8.0,0,2,32.5,2,0
195,1087,3,1,33.0,0,0,7.8542,2,0
196,1088,1,1,6.0,0,2,134.5,0,1
197,1089,3,0,18.0,0,0,7.775,2,0
198,1090,2,1,23.0,0,0,10.5,2,0
199,1091,3,0,30.2725903614,0,0,8.1125,2,0
200,1092,3,0,30.2725903614,0,0,15.5,1,0
201,1093,3,1,0.33,0,2,14.4,2,0
202,1094,1,1,47.0,1,0,227.525,0,1
203,1095,2,0,8.0,1,1,26.0,2,0
204,1096,2,1,25.0,0,0,10.5,2,0
205,1097,1,1,30.2725903614,0,0,25.7417,0,0
206,1098,3,0,35.0,0,0,7.75,1,0
207,1099,2,1,24.0,0,0,10.5,2,0
208,1100,1,0,33.0,0,0,27.7208,0,1
209,1101,3,1,25.0,0,0,7.8958,2,0
210,1102,3,1,32.0,0,0,22.525,2,0
211,1103,3,1,30.2725903614,0,0,7.05,2,0
212,1104,2,1,17.0,0,0,73.5,2,0
213,1105,2,0,60.0,1,0,26.0,2,0
214,1106,3,0,38.0,4,2,7.775,2,0
215,1107,1,1,42.0,0,0,42.5,2,1
216,1108,3,0,30.2725903614,0,0,7.8792,1,0
217,1109,1,1,57.0,1,1,164.8667,2,0
218,1110,1,0,50.0,1,1,211.5,0,1
219,1111,3,1,30.2725903614,0,0,8.05,2,0
220,1112,2,0,30.0,1,0,13.8583,0,0
221,1113,3,1,21.0,0,0,8.05,2,0
222,1114,2,0,22.0,0,0,10.5,2,1
223,1115,3,1,21.0,0,0,7.7958,2,0
224,1116,1,0,53.0,0,0,27.4458,0,0
225,1117,3,0,30.2725903614,0,2,15.2458,0,0
226,1118,3,1,23.0,0,0,7.7958,2,0
227,1119,3,0,30.2725903614,0,0,7.75,1,0
228,1120,3,1,40.5,0,0,15.1,2,0
229,1121,2,1,36.0,0,0,13.0,2,0
230,1122,2,1,14.0,0,0,65.0,2,0
231,1123,1,0,21.0,0,0,26.55,2,0
232,1124,3,1,21.0,1,0,6.4958,2,0
233,1125,3,1,30.2725903614,0,0,7.8792,1,0
234,1126,1,1,39.0,1,0,71.2833,0,1
235,1127,3,1,20.0,0,0,7.8542,2,0
236,1128,1,1,64.0,1,0,75.25,0,1
237,1129,3,1,20.0,0,0,7.225,0,0
238,1130,2,0,18.0,1,1,13.0,2,0
239,1131,1,0,48.0,1,0,106.425,0,1
240,1132,1,0,55.0,0,0,27.7208,0,0
241,1133,2,0,45.0,0,2,30.0,2,0
242,1134,1,1,45.0,1,1,134.5,0,1
243,1135,3,1,30.2725903614,0,0,7.8875,2,0
244,1136,3,1,30.2725903614,1,2,23.45,2,0
245,1137,1,1,41.0,1,0,51.8625,2,1
246,1138,2,0,22.0,0,0,21.0,2,0
247,1139,2,1,42.0,1,1,32.5,2,0
248,1140,2,0,29.0,1,0,26.0,2,0
249,1141,3,0,30.2725903614,1,0,14.4542,0,0
250,1142,2,0,0.92,1,2,27.75,2,0
251,1143,3,1,20.0,0,0,7.925,2,0
252,1144,1,1,27.0,1,0,136.7792,0,1
253,1145,3,1,24.0,0,0,9.325,2,0
254,1146,3,1,32.5,0,0,9.5,2,0
255,1147,3,1,30.2725903614,0,0,7.55,2,0
256,1148,3,1,30.2725903614,0,0,7.75,1,0
257,1149,3,1,28.0,0,0,8.05,2,0
258,1150,2,0,19.0,0,0,13.0,2,0
259,1151,3,1,21.0,0,0,7.775,2,0
260,1152,3,1,36.5,1,0,17.4,2,0
261,1153,3,1,21.0,0,0,7.8542,2,0
262,1154,2,0,29.0,0,2,23.0,2,0
263,1155,3,0,1.0,1,1,12.1833,2,0
264,1156,2,1,30.0,0,0,12.7375,0,0
265,1157,3,1,30.2725903614,0,0,7.8958,2,0
266,1158,1,1,30.2725903614,0,0,0.0,2,0
267,1159,3,1,30.2725903614,0,0,7.55,2,0
268,1160,3,0,30.2725903614,0,0,8.05,2,0
269,1161,3,1,17.0,0,0,8.6625,2,0
270,1162,1,1,46.0,0,0,75.2417,0,1
271,1163,3,1,30.2725903614,0,0,7.75,1,0
272,1164,1,0,26.0,1,0,136.7792,0,1
273,1165,3,0,30.2725903614,1,0,15.5,1,0
274,1166,3,1,30.2725903614,0,0,7.225,0,0
275,1167,2,0,20.0,1,0,26.0,2,0
276,1168,2,1,28.0,0,0,10.5,2,0
277,1169,2,1,40.0,1,0,26.0,2,0
278,1170,2,1,30.0,1,0,21.0,2,0
279,1171,2,1,22.0,0,0,10.5,2,0
280,1172,3,0,23.0,0,0,8.6625,2,0
281,1173,3,1,0.75,1,1,13.775,2,0
282,1174,3,0,30.2725903614,0,0,7.75,1,0
283,1175,3,0,9.0,1,1,15.2458,0,0
284,1176,3,0,2.0,1,1,20.2125,2,0
285,1177,3,1,36.0,0,0,7.25,2,0
286,1178,3,1,30.2725903614,0,0,7.25,2,0
287,1179,1,1,24.0,1,0,82.2667,2,1
288,1180,3,1,30.2725903614,0,0,7.2292,0,1
289,1181,3,1,30.2725903614,0,0,8.05,2,0
290,1182,1,1,30.2725903614,0,0,39.6,2,0
291,1183,3,0,30.0,0,0,6.95,1,0
292,1184,3,1,30.2725903614,0,0,7.2292,0,0
293,1185,1,1,53.0,1,1,81.8583,2,1
294,1186,3,1,36.0,0,0,9.5,2,0
295,1187,3,1,26.0,0,0,7.8958,2,0
296,1188,2,0,1.0,1,2,41.5792,0,0
297,1189,3,1,30.2725903614,2,0,21.6792,0,0
298,1190,1,1,30.0,0,0,45.5,2,0
299,1191,3,1,29.0,0,0,7.8542,2,0
300,1192,3,1,32.0,0,0,7.775,2,0
301,1193,2,1,30.2725903614,0,0,15.0458,0,1
302,1194,2,1,43.0,0,1,21.0,2,0
303,1195,3,1,24.0,0,0,8.6625,2,0
304,1196,3,0,30.2725903614,0,0,7.75,1,0
305,1197,1,0,64.0,1,1,26.55,2,1
306,1198,1,1,30.0,1,2,151.55,2,1
307,1199,3,1,0.83,0,1,9.35,2,0
308,1200,1,1,55.0,1,1,93.5,2,1
309,1201,3,0,45.0,1,0,14.1083,2,0
310,1202,3,1,18.0,0,0,8.6625,2,0
311,1203,3,1,22.0,0,0,7.225,0,0
312,1204,3,1,30.2725903614,0,0,7.575,2,0
313,1205,3,0,37.0,0,0,7.75,1,0
314,1206,1,0,55.0,0,0,135.6333,0,1
315,1207,3,0,17.0,0,0,7.7333,1,0
316,1208,1,1,57.0,1,0,146.5208,0,1
317,1209,2,1,19.0,0,0,10.5,2,0
318,1210,3,1,27.0,0,0,7.8542,2,0
319,1211,2,1,22.0,2,0,31.5,2,0
320,1212,3,1,26.0,0,0,7.775,2,0
321,1213,3,1,25.0,0,0,7.2292,0,1
322,1214,2,1,26.0,0,0,13.0,2,1
323,1215,1,1,33.0,0,0,26.55,2,0
324,1216,1,0,39.0,0,0,211.3375,2,0
325,1217,3,1,23.0,0,0,7.05,2,0
326,1218,2,0,12.0,2,1,39.0,2,1
327,1219,1,1,46.0,0,0,79.2,0,0
328,1220,2,1,29.0,1,0,26.0,2,0
329,1221,2,1,21.0,0,0,13.0,2,0
330,1222,2,0,48.0,0,2,36.75,2,0
331,1223,1,1,39.0,0,0,29.7,0,1
332,1224,3,1,30.2725903614,0,0,7.225,0,0
333,1225,3,0,19.0,1,1,15.7417,0,0
334,1226,3,1,27.0,0,0,7.8958,2,0
335,1227,1,1,30.0,0,0,26.0,2,1
336,1228,2,1,32.0,0,0,13.0,2,0
337,1229,3,1,39.0,0,2,7.2292,0,0
338,1230,2,1,25.0,0,0,31.5,2,0
339,1231,3,1,30.2725903614,0,0,7.2292,0,0
340,1232,2,1,18.0,0,0,10.5,2,0
341,1233,3,1,32.0,0,0,7.5792,2,0
342,1234,3,1,30.2725903614,1,9,69.55,2,0
343,1235,1,0,58.0,0,1,512.3292,0,1
344,1236,3,1,30.2725903614,1,1,14.5,2,0
345,1237,3,0,16.0,0,0,7.65,2,0
346,1238,2,1,26.0,0,0,13.0,2,0
347,1239,3,0,38.0,0,0,7.2292,0,0
348,1240,2,1,24.0,0,0,13.5,2,0
349,1241,2,0,31.0,0,0,21.0,2,0
350,1242,1,0,45.0,0,1,63.3583,0,1
351,1243,2,1,25.0,0,0,10.5,2,0
352,1244,2,1,18.0,0,0,73.5,2,0
353,1245,2,1,49.0,1,2,65.0,2,0
354,1246,3,0,0.17,1,2,20.575,2,0
355,1247,1,1,50.0,0,0,26.0,2,1
356,1248,1,0,59.0,2,0,51.4792,2,1
357,1249,3,1,30.2725903614,0,0,7.8792,2,0
358,1250,3,1,30.2725903614,0,0,7.75,1,0
359,1251,3,0,30.0,1,0,15.55,2,0
360,1252,3,1,14.5,8,2,69.55,2,0
361,1253,2,0,24.0,1,1,37.0042,0,0
362,1254,2,0,31.0,0,0,21.0,2,0
363,1255,3,1,27.0,0,0,8.6625,2,0
364,1256,1,0,25.0,1,0,55.4417,0,1
365,1257,3,0,30.2725903614,1,9,69.55,2,0
366,1258,3,1,30.2725903614,1,0,14.4583,0,0
367,1259,3,0,22.0,0,0,39.6875,2,0
368,1260,1,0,45.0,0,1,59.4,0,0
369,1261,2,1,29.0,0,0,13.8583,0,0
370,1262,2,1,21.0,1,0,11.5,2,0
371,1263,1,0,31.0,0,0,134.5,0,1
372,1264,1,1,49.0,0,0,0.0,2,1
373,1265,2,1,44.0,0,0,13.0,2,0
374,1266,1,0,54.0,1,1,81.8583,2,1
375,1267,1,0,45.0,0,0,262.375,0,0
376,1268,3,0,22.0,2,0,8.6625,2,0
377,1269,2,1,21.0,0,0,11.5,2,0
378,1270,1,1,55.0,0,0,50.0,2,1
379,1271,3,1,5.0,4,2,31.3875,2,0
380,1272,3,1,30.2725903614,0,0,7.75,1,0
381,1273,3,1,26.0,0,0,7.8792,1,0
382,1274,3,0,30.2725903614,0,0,14.5,2,0
383,1275,3,0,19.0,1,0,16.1,2,0
384,1276,2,1,30.2725903614,0,0,12.875,2,0
385,1277,2,0,24.0,1,2,65.0,2,0
386,1278,3,1,24.0,0,0,7.775,2,0
387,1279,2,1,57.0,0,0,13.0,2,0
388,1280,3,1,21.0,0,0,7.75,1,0
389,1281,3,1,6.0,3,1,21.075,2,0
390,1282,1,1,23.0,0,0,93.5,2,1
391,1283,1,0,51.0,0,1,39.4,2,1
392,1284,3,1,13.0,0,2,20.25,2,0
393,1285,2,1,47.0,0,0,10.5,2,0
394,1286,3,1,29.0,3,1,22.025,2,0
395,1287,1,0,18.0,1,0,60.0,2,1
396,1288,3,1,24.0,0,0,7.25,1,0
397,1289,1,0,48.0,1,1,79.2,0,1
398,1290,3,1,22.0,0,0,7.775,2,0
399,1291,3,1,31.0,0,0,7.7333,1,0
400,1292,1,0,30.0,0,0,164.8667,2,1
401,1293,2,1,38.0,1,0,21.0,2,0
402,1294,1,0,22.0,0,1,59.4,0,0
403,1295,1,1,17.0,0,0,47.1,2,0
404,1296,1,1,43.0,1,0,27.7208,0,1
405,1297,2,1,20.0,0,0,13.8625,0,1
406,1298,2,1,23.0,1,0,10.5,2,0
407,1299,1,1,50.0,1,1,211.5,0,1
408,1300,3,0,30.2725903614,0,0,7.7208,1,0
409,1301,3,0,3.0,1,1,13.775,2,0
410,1302,3,0,30.2725903614,0,0,7.75,1,0
411,1303,1,0,37.0,1,0,90.0,1,1
412,1304,3,0,28.0,0,0,7.775,2,0
413,1305,3,1,30.2725903614,0,0,8.05,2,0
414,1306,1,0,39.0,0,0,108.9,0,1
415,1307,3,1,38.5,0,0,7.25,2,0
416,1308,3,1,30.2725903614,0,0,8.05,2,0
417,1309,3,1,30.2725903614,1,1,22.3583,0,0
